TMDB20802,movie,Freebie and the Bean,,,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,9
TMDB2020,movie,The Bachelor,,,1999,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",George Street Pictures,New Line Cinema,Gary Sinyor,Steve Cohen,Chris O'Donnell,Renee Zellweger,,9
TMDB3766,movie,The Lady from Shanghai,,,1947,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,9
TMDB24508,movie,The Lineup,,,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)",Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,9
TMDB11610,movie,"Play it Again, Sam",,,1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Paramount Pictures,Paramount Pictures,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,9
TMDB2018,movie,The Wedding Planner,,,2001,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)",Columbia Pictures,Sony Pictures Entertainment,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,,9
TMDB10442,movie,So I Married an Axe Murderer,,,1993,2107 Lyon Street,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,10
TMDB321029,movie,Americana,,,2015,3232 Jackson Ave.,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,10
TMDB321029,movie,Americana,,,2015,33 Spruce St,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,10
TMDB323692,movie,Quitters,,,2015,Claire Lilienthal Elementary School,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,10
TMDB321029,movie,Americana,,,2015,Jackson St. at Spruce,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote,10
TMDB340793,tv,Chance,2,,2017,Presidio Heights Neighborhood,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,10
TMDB69061,tv,The OA,,,2019,Washington at Maple,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,10
TMDB340793,tv,Chance,1,107,2016,157 Commonwealth,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,11
TMDB323692,movie,Quitters,,,2015,Cal-Mart Supermarket,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,11
TMDB323692,movie,Quitters,,,2015,Wine Impression,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,11
TMDB838,movie,American Graffiti,,,1973,3355 Geary Blvd.,Universal Pictures,Universal Pictures',George Lucas,George Lucas,Richard Dreyfuss,Ron Howard,Paul Le Mat,12
TMDB335983,movie,Venom,,,2018,O'Farrell between Leavenworth and Jones,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,13
TMDB580489,movie,Venom: Let There Be Carnage,,,2021,O'Farrell between Leavenworth and Jones,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,13
TMDB273153,movie,Summertime,,,2015,Turk St between Lyon and Baker St,"Creative Monster Productions, Inc.",4 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,13
TMDB19171,movie,Sudden Fear,,,1952,2800 Scott Street,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,14
TMDB44603,movie,Hereafter,,,2010,2990 Baker Street,GT Films,Warner Bros. Pictures,Clint Eastwood,Peter Morgan,Matt Damon,Cecile De France,,14
TMDB451915,movie,Beautiful Boy,,,2018,Divisadero between Broadway and Greenwich,Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,14
TMDB363088,movie,Ant-Man and the Wasp,,,2018,Westar Marine Services,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,14
TMDB340793,tv,Chance,1,102,2016,2030 Union St.,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,15
TMDB916,movie,Bullitt,,,1968,2040 Union Street,"Warner Brothers / Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,15
TMDB3050,movie,Doctor Dolittle,,,1998,2100 Green Street,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,15
TMDB3050,movie,Doctor Dolittle,,,1998,2107 Union Street,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,15
TMDB157919,movie,Knife Fight,,,2013,Green and Laguna Streets,Divisadero Pictures & Knife Fight,Eagle Films,Bill Guttentag,Bill Guttentag & Chris Lehane,Rob Lowe,Julie Bowen,Jamie Chung,15
TMDB160588,movie,Blue Jasmine,,,2013,Motel Capri,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,15
TMDB916,movie,Bullitt,,,1968,1 Nob Hill Circle,"Warner Brothers / Seven Arts",Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,16
TMDB1251785,movie,D.O.A,,,1950,1 Nob Hill Circle,Cardinal Pictures,United Artists,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler,16
TMDB2614,movie,Innerspace,,,1987,1 Nob Hill Circle,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,16
TMDB10650,movie,Sudden Impact,,,1983,1 Nob Hill Circle,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,16
TMDB24508,movie,The Lineup,,,1958,1 Nob Hill Circle,Pajemer Productions,Columbia Pictures,Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel,16
TMDB340793,tv,Chance,1,108,2016,1000 Mason Street,TVM Productions,HULU,Peter Elkoff and Victoria Morrow,Andrew Bernstein,Hugh Laurie,Gretchen Mol,Ethan Suplee,16
